Train 117001 LEDN GVC 22380 23160 _ 180 
TSP 0 117001 LEDN LEDN 22380 22500 120 8
TMV 1 117001 LEDN VKBR 22500 22560 60 1
TSP 2 117001 VKBR VKBR 22560 22560 0 1
TMV 3 117001 VKBR DVNK 22560 22620 23 1
TSP 4 117001 DVNK DVNK 22620 22620 0 1
TMV 5 117001 DVNK VST 22620 22680 60 1
TSP 6 117001 VST VST 22680 22680 0 1
TMV 7 117001 VST GVM 22680 22860 163 1
TSP 8 117001 GVM GVM 22860 22860 0 1
TMV 9 117001 GVM LAA 22860 22980 101 1
TSP 10 117001 LAA LAA 22980 22980 0 1
TMV 11 117001 LAA GVC 22980 23160 129 1
TSP 12 117001 GVC GVC 23160 23340 180 10
Train 127000 GVC LEDN 23400 24300 _ 180 
TSP 12 127000 GVC GVC 23400 23580 180 9
TMV 11 127000 GVC LAA 23580 23700 114 2
TSP 10 127000 LAA LAA 23700 23700 0 2
TMV 9 127000 LAA GVM 23700 23820 108 2
TSP 8 127000 GVM GVM 23820 23820 0 4
TMV 7 127000 GVM VST 23820 24000 180 1
TSP 6 127000 VST VST 24000 24000 0 4
TMV 5 127000 VST DVNK 24000 24120 68 4
TSP 4 127000 DVNK DVNK 24120 24120 0 4
TMV 3 127000 DVNK VKBR 24120 24120 0 2
TSP 2 127000 VKBR VKBR 24120 24120 0 4
TMV 1 127000 VKBR LEDN 24120 24300 124 2
TSP 0 127000 LEDN LEDN 24300 24420 120 2
Train 1111000 DTZ GVC 23160 24120 _ 180 
TSP 26 1111000 DTZ DTZ 23160 23160 0 1
TMV 38 1111000 DTZ DT 23160 23292 106 1
TSP 22 1111000 DT DT 23292 23340 48 1
TMV 23 1111000 DT NGSFA 23340 23460 86 1
TSP 24 1111000 NGSFA NGSFA 23460 23460 0 2
TMV 39 1111000 NGSFA DTA 23460 23520 42 1
TSP 20 1111000 DTA DTA 23520 23520 0 1
TMV 19 1111000 DTA RSW 23520 23580 50 1
TSP 18 1111000 RSW RSW 23580 23580 0 4
TMV 17 1111000 RSW GVMW 23580 23640 51 4
TSP 16 1111000 GVMW GVMW 23640 23640 0 4
TMV 15 1111000 GVMW GV 23640 23820 149 1
TSP 14 1111000 GV GV 23820 23880 60 5
TMV 13 1111000 GV GVC 23880 24120 173 1
