Regional Stop ID,BM Trip ID,BM Stop ID
1,11700,85298402
13,11700,80108013
1,21700,85298402
13,21700,80108013
1,31700,85298402
13,31700,80108013
1,41700,85298402
13,41700,80108013
13,12700,80008009
1,12700,85248502
13,22700,80008009
1,22700,85248502
13,32700,80008009
1,32700,85248502
13,42700,80008009
1,42700,85248502
23,111100,94019304
15,111100,91068002
13,111100,80028013
23,211100,94019304
15,211100,91068002
13,211100,80028013
23,311100,94019304
15,311100,91068002
13,311100,80028013
23,411100,94019304
15,411100,91068002
13,411100,80028013
13,121100,80008002
15,121100,91049202
23,121100,94029502
13,221100,80008002
15,221100,91049202
23,221100,94029502
13,321100,80008002
15,321100,91049202
23,321100,94029502
13,421100,80008002
15,421100,91049202
23,421100,94029502
23,131100,94019304
15,131100,91068001
13,131100,80018013
23,231100,94019304
15,231100,91068001
13,231100,80018013
23,331100,94019304
15,331100,91068001
13,331100,80018013
23,431100,94019304
15,431100,91068001
13,431100,80018013
13,141100,80008001
15,141100,91049202
23,141100,94029502
13,241100,80008001
15,241100,91049202
23,241100,94029502
13,341100,80008001
15,341100,91049202
23,341100,94029502
13,441100,80008001
15,441100,91049202
23,441100,94029502
13,1211700,80008005
27,1211700,96059612
13,2211700,80008005
27,2211700,96059612
13,3211700,80008005
27,3211700,96059612
13,4211700,80008005
27,4211700,96059612
13,121700,80008005
27,121700,96059612
13,221700,80008005
27,221700,96059612
13,321700,80008005
27,321700,96059612
13,421700,80008005
27,421700,96059612
1,111800,85298402
13,111800,80098013
1,211800,85298402
13,211800,80098013
1,311800,85298402
13,311800,80098013
1,411800,85298402
13,411800,80098013
13,121800,80008010
1,121800,85248502
13,221800,80008010
1,221800,85248502
13,321800,80008010
1,321800,85248502
13,421800,80008010
1,421800,85248502
27,112000,96108902
13,112000,80048013
27,212000,96108902
13,212000,80048013
27,312000,96108902
13,312000,80048013
27,412000,96108902
13,412000,80048013
13,122000,80008004
27,122000,96059612
13,222000,80008004
27,222000,96059612
13,322000,80008004
27,322000,96059612
13,422000,80008004
27,422000,96059612
27,132000,96108902
13,132000,80048013
27,232000,96108902
13,232000,80048013
27,332000,96108902
13,332000,80048013
27,432000,96108902
13,432000,80048013
13,142000,80008004
27,142000,96059612
13,242000,80008004
27,242000,96059612
13,342000,80008004
27,342000,96059612
13,442000,80008004
27,442000,96059612
13,112100,80008010
1,112100,85248503
13,212100,80008010
1,212100,85248503
13,312100,80008010
1,312100,85248503
13,412100,80008010
1,412100,85248503
1,122100,85298402
13,122100,80098013
1,222100,85298402
13,222100,80098013
1,322100,85298402
13,322100,80098013
1,422100,85298402
13,422100,80098013
13,132100,80008009
1,132100,85248503
13,232100,80008009
1,232100,85248503
13,332100,80008009
1,332100,85248503
13,432100,80008009
1,432100,85248503
1,142100,85298402
13,142100,80108013
1,242100,85298402
13,242100,80108013
1,342100,85298402
13,342100,80108013
1,442100,85298402
13,442100,80108013
23,112200,94019304
15,112200,91068106
11,112200,81068203
1,112200,85258503
23,212200,94019304
15,212200,91068106
11,212200,81068203
1,212200,85258503
23,312200,94019304
15,312200,91068106
11,312200,81068203
1,312200,85258503
23,412200,94019304
15,412200,91068106
11,412200,81068203
1,412200,85258503
1,122200,85288402
11,122200,81059104
15,122200,91049202
23,122200,94029502
1,222200,85288402
11,222200,81059104
15,222200,91049202
23,222200,94029502
1,322200,85288402
11,322200,81059104
15,322200,91049202
23,322200,94029502
1,422200,85288402
11,422200,81059104
15,422200,91049202
23,422200,94029502
23,132200,94019304
15,132200,91068106
11,132200,81068203
1,132200,85258503
23,232200,94019304
15,232200,91068106
11,232200,81068203
1,232200,85258503
23,332200,94019304
15,332200,91068106
11,332200,81068203
1,332200,85258503
23,432200,94019304
15,432200,91068106
11,432200,81068203
1,432200,85258503
1,142200,85288402
11,142200,81059104
15,142200,91049202
23,142200,94029502
1,242200,85288402
11,242200,81059104
15,242200,91049202
23,242200,94029502
1,342200,85288402
11,342200,81059104
15,342200,91049202
23,342200,94029502
1,442200,85288402
11,442200,81059104
15,442200,91049202
23,442200,94029502
23,112400,94019304
15,112400,91068106
11,112400,81068203
1,112400,85258502
23,212400,94019304
15,212400,91068106
11,212400,81068203
1,212400,85258502
23,312400,94019304
15,312400,91068106
11,312400,81068203
1,312400,85258502
23,412400,94019304
15,412400,91068106
11,412400,81068203
1,412400,85258502
1,122400,85288402
11,122400,81059104
15,122400,91049202
23,122400,94029502
1,222400,85288402
11,222400,81059104
15,222400,91049202
23,222400,94029502
1,322400,85288402
11,322400,81059104
15,322400,91049202
23,322400,94029502
1,422400,85288402
11,422400,81059104
15,422400,91049202
23,422400,94029502
23,132400,94019304
15,132400,91068106
11,132400,81068203
1,132400,85258502
23,232400,94019304
15,232400,91068106
11,232400,81068203
1,232400,85258502
23,332400,94019304
15,332400,91068106
11,332400,81068203
1,332400,85258502
23,432400,94019304
15,432400,91068106
11,432400,81068203
1,432400,85258502
1,142400,85288402
11,142400,81059104
15,142400,91049202
23,142400,94029502
1,242400,85288402
11,242400,81059104
15,242400,91049202
23,242400,94029502
1,342400,85288402
11,342400,81059104
15,342400,91049202
23,342400,94029502
1,442400,85288402
11,442400,81059104
15,442400,91049202
23,442400,94029502
13,114600,80008008
11,114600,81048204
9,114600,82048304
7,114600,83048404
5,114600,84048514
1,114600,85148502
13,214600,80008008
11,214600,81048204
9,214600,82048304
7,214600,83048404
5,214600,84048514
1,214600,85148502
13,314600,80008008
11,314600,81048204
9,314600,82048304
7,314600,83048404
5,314600,84048514
1,314600,85148502
13,414600,80008008
11,414600,81048204
9,414600,82048304
7,414600,83048404
5,414600,84048514
1,414600,85148502
1,124600,85188401
5,124600,84018301
7,124600,83018201
9,124600,82018103
11,124600,81038008
13,124600,80088013
1,224600,85188401
5,224600,84018301
7,224600,83018201
9,224600,82018103
11,224600,81038008
13,224600,80088013
1,324600,85188401
5,324600,84018301
7,324600,83018201
9,324600,82018103
11,324600,81038008
13,324600,80088013
1,424600,85188401
5,424600,84018301
7,424600,83018201
9,424600,82018103
11,424600,81038008
13,424600,80088013
13,134600,80008008
11,134600,81048204
9,134600,82048304
7,134600,83048404
5,134600,84048514
1,134600,85148502
13,234600,80008008
11,234600,81048204
9,234600,82048304
7,234600,83048404
5,234600,84048514
1,234600,85148502
13,334600,80008008
11,334600,81048204
9,334600,82048304
7,334600,83048404
5,334600,84048514
1,334600,85148502
13,434600,80008008
11,434600,81048204
9,434600,82048304
7,434600,83048404
5,434600,84048514
1,434600,85148502
1,144600,85188401
5,144600,84018301
7,144600,83018201
9,144600,82018103
11,144600,81038008
13,144600,80088013
1,244600,85188401
5,244600,84018301
7,244600,83018201
9,244600,82018103
11,244600,81038008
13,244600,80088013
1,344600,85188401
5,344600,84018301
7,344600,83018201
9,344600,82018103
11,344600,81038008
13,344600,80088013
1,444600,85188401
5,444600,84018301
7,444600,83018201
9,444600,82018103
11,444600,81038008
13,444600,80088013
26,115000,95019401
23,115000,94019303
19,115000,93039203
17,115000,92039105
15,115000,91058002
13,115000,80028013
26,215000,95019401
23,215000,94019303
19,215000,93039203
17,215000,92039105
15,215000,91058002
13,215000,80028013
26,315000,95019401
23,315000,94019303
19,315000,93039203
17,315000,92039105
15,315000,91058002
13,315000,80028013
26,415000,95019401
23,415000,94019303
19,415000,93039203
17,415000,92039105
15,415000,91058002
13,415000,80028013
13,125000,80008001
15,125000,91039201
17,125000,92019301
19,125000,93019402
23,125000,94029502
26,125000,95029504
13,225000,80008001
15,225000,91039201
17,225000,92019301
19,225000,93019402
23,225000,94029502
26,225000,95029504
13,325000,80008001
15,325000,91039201
17,325000,92019301
19,325000,93019402
23,325000,94029502
26,325000,95029504
13,425000,80008001
15,425000,91039201
17,425000,92019301
19,425000,93019402
23,425000,94029502
26,425000,95029504
26,135000,95019401
23,135000,94019303
19,135000,93039203
17,135000,92039105
15,135000,91058001
13,135000,80018013
26,235000,95019401
23,235000,94019303
19,235000,93039203
17,235000,92039105
15,235000,91058001
13,235000,80018013
26,335000,95019401
23,335000,94019303
19,335000,93039203
17,335000,92039105
15,335000,91058001
13,335000,80018013
26,435000,95019401
23,435000,94019303
19,435000,93039203
17,435000,92039105
15,435000,91058001
13,435000,80018013
13,145000,80008002
15,145000,91039201
17,145000,92019301
19,145000,93019402
23,145000,94029502
26,145000,95029504
13,245000,80008002
15,245000,91039201
17,245000,92019301
19,245000,93019402
23,245000,94029502
26,245000,95029504
13,345000,80008002
15,345000,91039201
17,345000,92019301
19,345000,93019402
23,345000,94029502
26,345000,95029504
13,445000,80008002
15,445000,91039201
17,445000,92019301
19,445000,93019402
23,445000,94029502
26,445000,95029504
26,115100,95019401
23,115100,94019303
19,115100,93039203
17,115100,92039105
15,115100,91058003
13,115100,80038013
26,215100,95019401
23,215100,94019303
19,215100,93039203
17,215100,92039105
15,215100,91058003
13,215100,80038013
26,315100,95019401
23,315100,94019303
19,315100,93039203
17,315100,92039105
15,315100,91058003
13,315100,80038013
26,415100,95019401
23,415100,94019303
19,415100,93039203
17,415100,92039105
15,415100,91058003
13,415100,80038013
13,125100,80008003
15,125100,91039201
17,125100,92019301
19,125100,93019402
23,125100,94029502
26,125100,95029504
13,225100,80008003
15,225100,91039201
17,225100,92019301
19,225100,93019402
23,225100,94029502
26,225100,95029504
13,325100,80008003
15,325100,91039201
17,325100,92019301
19,325100,93019402
23,325100,94029502
26,325100,95029504
13,425100,80008003
15,425100,91039201
17,425100,92019301
19,425100,93019402
23,425100,94029502
26,425100,95029504
26,135100,95019401
23,135100,94019303
19,135100,93039203
17,135100,92039105
15,135100,91058003
13,135100,80038013
26,235100,95019401
23,235100,94019303
19,235100,93039203
17,235100,92039105
15,235100,91058003
13,235100,80038013
26,335100,95019401
23,335100,94019303
19,335100,93039203
17,335100,92039105
15,335100,91058003
13,335100,80038013
26,435100,95019401
23,435100,94019303
19,435100,93039203
17,435100,92039105
15,435100,91058003
13,435100,80038013
13,145100,80008003
15,145100,91039201
17,145100,92019301
19,145100,93019402
23,145100,94029502
26,145100,95029504
13,245100,80008003
15,245100,91039201
17,245100,92019301
19,245100,93019402
23,245100,94029502
26,245100,95029504
13,345100,80008003
15,345100,91039201
17,345100,92019301
19,345100,93019402
23,345100,94029502
26,345100,95029504
13,445100,80008003
15,445100,91039201
17,445100,92019301
19,445100,93019402
23,445100,94029502
26,445100,95029504
13,116300,80008007
11,116300,81048204
9,116300,82048304
7,116300,83048404
5,116300,84048524
1,116300,85248503
13,216300,80008007
11,216300,81048204
9,216300,82048304
7,216300,83048404
5,216300,84048524
1,216300,85248503
13,316300,80008007
11,316300,81048204
9,316300,82048304
7,316300,83048404
5,316300,84048524
1,316300,85248503
13,416300,80008007
11,416300,81048204
9,416300,82048304
7,416300,83048404
5,416300,84048524
1,416300,85248503
1,126300,85298401
5,126300,84018301
7,126300,83018201
9,126300,82018103
11,126300,81038007
13,126300,80078013
1,226300,85298401
5,226300,84018301
7,226300,83018201
9,226300,82018103
11,226300,81038007
13,226300,80078013
1,326300,85298401
5,326300,84018301
7,326300,83018201
9,326300,82018103
11,326300,81038007
13,326300,80078013
1,426300,85298401
5,426300,84018301
7,426300,83018201
9,426300,82018103
11,426300,81038007
13,426300,80078013
13,136300,80008007
11,136300,81048204
9,136300,82048304
7,136300,83048404
5,136300,84048524
1,136300,85248503
13,236300,80008007
11,236300,81048204
9,236300,82048304
7,236300,83048404
5,236300,84048524
1,236300,85248503
13,336300,80008007
11,336300,81048204
9,336300,82048304
7,336300,83048404
5,336300,84048524
1,336300,85248503
13,436300,80008007
11,436300,81048204
9,436300,82048304
7,436300,83048404
5,436300,84048524
1,436300,85248503
1,146300,85298401
5,146300,84018301
7,146300,83018201
9,146300,82018103
11,146300,81038007
13,146300,80078013
1,246300,85298401
5,246300,84018301
7,246300,83018201
9,246300,82018103
11,246300,81038007
13,246300,80078013
1,346300,85298401
5,346300,84018301
7,346300,83018201
9,346300,82018103
11,346300,81038007
13,346300,80078013
1,446300,85298401
5,446300,84018301
7,446300,83018201
9,446300,82018103
